Curly action: url = http://www.example.com, max_deepness = 2, do_versionning = 0 
Curly action: url = https://www.iana.org/domains/example, max_deepness = 1, do_versionning = 0 
Curly action: url = http://www.icann.org/topics/idn/, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/en/registries/agreements.htm, max_deepness = 0, do_versionning = 0 
Curly action: url = http://pti.icann.org, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/policy, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/tos, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.example.com, max_deepness = 2, do_versionning = 0 
Curly action: url = https://www.iana.org/domains/example, max_deepness = 1, do_versionning = 0 
Curly action: url = http://www.icann.org/topics/idn/, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/en/registries/agreements.htm, max_deepness = 0, do_versionning = 0 
Curly action: url = http://pti.icann.org, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/policy, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/tos, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.example.com, max_deepness = 2, do_versionning = 0 
Curly action: url = https://www.iana.org/domains/example, max_deepness = 1, do_versionning = 0 
Curly action: url = http://www.icann.org/topics/idn/, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/en/registries/agreements.htm, max_deepness = 0, do_versionning = 0 
Curly action: url = http://pti.icann.org, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/policy, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/tos, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.example.com, max_deepness = 2, do_versionning = 0 
Curly action: url = https://www.iana.org/domains/example, max_deepness = 1, do_versionning = 0 
Curly action: url = http://www.icann.org/topics/idn/, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/en/registries/agreements.htm, max_deepness = 0, do_versionning = 0 
Curly action: url = http://pti.icann.org, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/policy, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/tos, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.example.com, max_deepness = 2, do_versionning = 0 
Curly action: url = https://www.iana.org/domains/example, max_deepness = 1, do_versionning = 0 
Curly action: url = http://www.icann.org/topics/idn/, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/en/registries/agreements.htm, max_deepness = 0, do_versionning = 0 
Curly action: url = http://pti.icann.org, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/policy, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/tos, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.example.com, max_deepness = 2, do_versionning = 0 
Curly action: url = https://www.iana.org/domains/example, max_deepness = 1, do_versionning = 0 
Curly action: url = http://www.icann.org/topics/idn/, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/en/registries/agreements.htm, max_deepness = 0, do_versionning = 0 
Curly action: url = http://pti.icann.org, max_deepness = 0, do_versionning = 0 
Curly action: url = http://www.icann.org/, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/policy, max_deepness = 0, do_versionning = 0 
Curly action: url = https://www.icann.org/privacy/tos, max_deepness = 0, do_versionning = 0 
